Tempo (s);Carga (g);Posicao (mm)
0;3,4;78,4
0;3,4;78,4
0;3,4;78,4
0;0;78,4
0,014;3,9;78,4
0,014;3,9;78,4
0,014;3,9;78,4
0,014;3,9;78,4
0,028;4,6;78,3
0,028;4,6;78,3
0,028;4,6;78,3
0,028;4,6;78,3
0,041;5,4;78,3
0,041;5,4;78,3
0,041;5,4;78,3
0,041;5,4;78,3
0,053;6,1;78,3
0,053;6,1;78,3
0,053;6,1;78,3
0,053;6,1;78,3
0,067;7,1;78,2
0,067;7,1;78,2
0,067;7,1;78,2
0,067;7,1;78,2
0,08;8,4;78,2
0,08;8,4;78,2
0,08;8,4;78,2
0,08;8,4;78,2
0,092;9,9;78,2
0,092;9,9;78,2
0,092;9,9;78,2
0,092;9,9;78,2
0,106;11,7;78,2
0,106;11,7;78,2
0,106;11,7;78,2
0,106;11,7;78,2
0,119;13,8;78,1
0,119;13,8;78,1
0,119;13,8;78,1
0,119;13,8;78,1
0,132;16,3;78,1
0,132;16,3;78,1
0,132;16,3;78,1
0,132;16,3;78,1
0,145;19,3;78,1
0,145;19,3;78,1
0,145;19,3;78,1
0,145;19,3;78,1
0,159;22,7;78,1
0,159;22,7;78,1
0,159;22,7;78,1
0,159;22,7;78,1
0,171;26,4;78
0,171;26,4;78
0,171;26,4;78
0,171;26,4;78
0,184;30,5;78
0,184;30,5;78
0,184;30,5;78
0,184;30,5;78
0,198;35,1;78
0,198;35,1;78
0,198;35,1;78
0,198;35,1;78
0,21;40,1;78
0,21;40,1;78
0,21;40,1;78
0,21;40,1;78
0,223;45,4;77,9
0,223;45,4;77,9
0,223;45,4;77,9
0,223;45,4;77,9
0,237;51;77,9
0,237;51;77,9
0,237;51;77,9
0,237;51;77,9
0,25;56,9;77,9
0,25;56,9;77,9
0,25;56,9;77,9
0,25;56,9;77,9
0,262;63,2;77,9
0,262;63,2;77,9
0,262;63,2;77,9
0,262;63,2;77,9
0,277;69,8;77,8
0,277;69,8;77,8
0,277;69,8;77,8
0,277;69,8;77,8
0,289;76,4;77,8
0,289;76,4;77,8
0,289;76,4;77,8
0,289;76,4;77,8
0,302;83,1;77,8
0,302;83,1;77,8
0,302;83,1;77,8
0,302;83,1;77,8
0,315;89,9;77,8
0,315;89,9;77,8
0,315;89,9;77,8
0,315;89,9;77,8
0,328;96,9;77,7
0,328;96,9;77,7
0,328;96,9;77,7
0,328;96,9;77,7
0,341;103,7;77,7
0,341;103,7;77,7
0,341;103,7;77,7
0,341;103,7;77,7
0,354;110,4;77,7
0,354;110,4;77,7
0,354;110,4;77,7
0,354;110,4;77,7
0,367;117,1;77,7
0,367;117,1;77,7
0,367;117,1;77,7
0,367;117,1;77,7
0,38;123,7;77,6
0,38;123,7;77,6
0,38;123,7;77,6
0,38;123,7;77,6
0,393;130,2;77,6
0,393;130,2;77,6
0,393;130,2;77,6
0,393;130,2;77,6
0,407;136,6;77,6
0,407;136,6;77,6
0,407;136,6;77,6
0,407;136,6;77,6
0,42;142,8;77,6
0,42;142,8;77,6
0,42;142,8;77,6
0,42;142,8;77,6
0,433;148,9;77,5
0,433;148,9;77,5
0,433;148,9;77,5
0,433;148,9;77,5
0,446;155,1;77,5
0,446;155,1;77,5
0,446;155,1;77,5
0,446;155,1;77,5
0,459;161,2;77,5
0,459;161,2;77,5
0,459;161,2;77,5
0,459;161,2;77,5
0,472;167,2;77,5
