Tempo (s);Carga (g);Posicao (mm)
0,002;5,3;30,5
0,002;5,3;30,5
0,002;5,3;30,5
0,002;5,3;30,5
0,002;5,3;30,5
0,002;5,3;30,5
0,015;6,6;30,4
0,015;6,6;30,4
0,015;6,6;30,4
0,015;6,6;30,4
0,015;6,6;30,4
0,015;6,6;30,4
0,029;8,3;30,3
0,029;8,3;30,3
0,029;8,3;30,3
0,029;8,3;30,3
0,029;8,3;30,3
0,029;8,3;30,3
0,042;10,5;30,3
0,042;10,5;30,3
0,042;10,5;30,3
0,042;10,5;30,3
0,042;10,5;30,3
0,042;10,5;30,3
0,055;13,2;30,2
0,055;13,2;30,2
0,055;13,2;30,2
0,055;13,2;30,2
0,055;13,2;30,2
0,055;13,2;30,2
0,069;16,4;30,1
0,069;16,4;30,1
0,069;16,4;30,1
0,069;16,4;30,1
0,069;16,4;30,1
0,069;16,4;30,1
0,082;20,3;30,1
0,082;20,3;30,1
0,082;20,3;30,1
0,082;20,3;30,1
0,082;20,3;30,1
0,082;20,3;30,1
0,094;24,9;30
0,094;24,9;30
0,094;24,9;30
0,094;24,9;30
0,094;24,9;30
0,094;24,9;30
0,108;30,2;30
0,108;30,2;30
0,108;30,2;30
0,108;30,2;30
0,108;30,2;30
0,108;30,2;30
0,121;36,2;29,9
0,121;36,2;29,9
0,121;36,2;29,9
0,121;36,2;29,9
0,121;36,2;29,9
0,121;36,2;29,9
0,134;43;29,8
0,134;43;29,8
0,134;43;29,8
0,134;43;29,8
0,134;43;29,8
0,134;43;29,8
0,146;50,6;29,8
0,146;50,6;29,8
0,146;50,6;29,8
0,146;50,6;29,8
0,146;50,6;29,8
0,146;50,6;29,8
0,16;59,1;29,7
0,16;59,1;29,7
0,16;59,1;29,7
0,16;59,1;29,7
0,16;59,1;29,7
0,16;59,1;29,7
0,173;68,3;29,6
0,173;68,3;29,6
0,173;68,3;29,6
0,173;68,3;29,6
0,173;68,3;29,6
0,173;68,3;29,6
0,186;78,3;29,6
0,186;78,3;29,6
0,186;78,3;29,6
0,186;78,3;29,6
0,186;78,3;29,6
0,186;78,3;29,6
0,2;89,3;29,5
0,2;89,3;29,5
0,2;89,3;29,5
0,2;89,3;29,5
0,2;89,3;29,5
0,2;89,3;29,5
0,213;101;29,4
0,213;101;29,4
0,213;101;29,4
0,213;101;29,4
0,213;101;29,4
0,213;101;29,4
0,226;113,4;29,4
0,226;113,4;29,4
0,226;113,4;29,4
0,226;113,4;29,4
0,226;113,4;29,4
0,226;113,4;29,4
0,24;126,6;29,3
0,24;126,6;29,3
0,24;126,6;29,3
0,24;126,6;29,3
0,24;126,6;29,3
0,24;126,6;29,3
0,252;140,4;29,2
0,252;140,4;29,2
0,252;140,4;29,2
0,252;140,4;29,2
0,252;140,4;29,2
0,252;140,4;29,2
0,265;154,7;29,2
0,265;154,7;29,2
0,265;154,7;29,2
0,265;154,7;29,2
0,265;154,7;29,2
0,265;154,7;29,2
0,279;169,5;29,1
0,279;169,5;29,1
0,279;169,5;29,1
0,279;169,5;29,1
0,279;169,5;29,1
0,279;169,5;29,1
0,292;184,7;29
0,292;184,7;29
0,292;184,7;29
0,292;184,7;29
0,292;184,7;29
0,292;184,7;29
0,304;200,3;29
0,304;200,3;29
0,304;200,3;29
0,304;200,3;29
0,304;200,3;29
0,304;200,3;29
0,317;216;28,9
0,317;216;28,9
0,317;216;28,9
0,317;216;28,9
0,317;216;28,9
0,317;216;28,9
0,331;232;28,8
0,331;232;28,8
0,331;232;28,8
0,331;232;28,8
0,331;232;28,8
0,331;232;28,8
0,344;248;28,8
0,344;248;28,8
0,344;248;28,8
0,344;248;28,8
0,344;248;28,8
0,344;248;28,8
0,357;264,1;28,7
0,357;264,1;28,7
0,357;264,1;28,7
0,357;264,1;28,7
0,357;264,1;28,7
0,357;264,1;28,7
0,371;280,2;28,7
0,371;280,2;28,7
0,371;280,2;28,7
0,371;280,2;28,7
0,371;280,2;28,7
0,371;280,2;28,7
0,384;296,2;28,6
0,384;296,2;28,6
0,384;296,2;28,6
0,384;296,2;28,6
0,384;296,2;28,6
0,384;296,2;28,6
0,396;312;28,5
0,396;312;28,5
0,396;312;28,5
0,396;312;28,5
0,396;312;28,5
0,396;312;28,5
0,41;327,5;28,5
0,41;327,5;28,5
0,41;327,5;28,5
0,41;327,5;28,5
0,41;327,5;28,5
0,41;327,5;28,5
0,423;342,8;28,4
0,423;342,8;28,4
0,423;342,8;28,4
0,423;342,8;28,4
0,423;342,8;28,4
0,423;342,8;28,4
0,436;357,7;28,3
0,436;357,7;28,3
0,436;357,7;28,3
0,436;357,7;28,3
0,436;357,7;28,3
0,436;357,7;28,3
0,449;372,3;28,3
0,449;372,3;28,3
0,449;372,3;28,3
0,449;372,3;28,3
0,449;372,3;28,3
0,449;372,3;28,3
0,462;386,5;28,2
0,462;386,5;28,2
0,462;386,5;28,2
0,462;386,5;28,2
0,462;386,5;28,2
0,462;386,5;28,2
0,475;400,3;28,1
0,475;400,3;28,1
0,475;400,3;28,1
0,475;400,3;28,1
0,475;400,3;28,1
0,475;400,3;28,1
0,488;413,6;28,1
0,488;413,6;28,1
0,488;413,6;28,1
0,488;413,6;28,1
0,488;413,6;28,1
0,488;413,6;28,1
0,502;426,6;28
0,502;426,6;28
0,502;426,6;28
0,502;426,6;28
0,502;426,6;28
0,502;426,6;28
0,515;439,1;27,9
0,515;439,1;27,9
0,515;439,1;27,9
0,515;439,1;27,9
0,515;439,1;27,9
0,515;439,1;27,9
0,527;451,3;27,9
0,527;451,3;27,9
0,527;451,3;27,9
0,527;451,3;27,9
0,527;451,3;27,9
0,527;451,3;27,9
0,541;463;27,8
0,541;463;27,8
0,541;463;27,8
0,541;463;27,8
0,541;463;27,8
0,541;463;27,8
0,554;474,5;27,7
0,554;474,5;27,7
0,554;474,5;27,7
0,554;474,5;27,7
0,554;474,5;27,7
0,554;474,5;27,7
0,567;485,6;27,7
0,567;485,6;27,7
0,567;485,6;27,7
0,567;485,6;27,7
0,567;485,6;27,7
0,567;485,6;27,7
0,58;496,4;27,6
0,58;496,4;27,6
0,58;496,4;27,6
0,58;496,4;27,6
0,58;496,4;27,6
0,58;496,4;27,6
0,593;506,9;27,6
0,593;506,9;27,6
0,593;506,9;27,6
0,593;506,9;27,6
0,593;506,9;27,6
0,593;506,9;27,6
0,606;517,2;27,5
0,606;517,2;27,5
0,606;517,2;27,5
0,606;517,2;27,5
0,606;517,2;27,5
0,606;517,2;27,5
0,62;527,3;27,4
0,62;527,3;27,4
0,62;527,3;27,4
0,62;527,3;27,4
0,62;527,3;27,4
0,62;527,3;27,4
0,633;537,2;27,4
0,633;537,2;27,4
0,633;537,2;27,4
0,633;537,2;27,4
