Tempo (s);Carga (g);Posicao (mm)
0,002;6;30,1
0,002;6;30,1
0,002;6;30,1
0,017;7,6;30,1
0,017;7,6;30,1
0,017;7,6;30,1
0,03;9,7;30
0,03;9,7;30
0,03;9,7;30
0,044;12,3;29,9
0,044;12,3;29,9
0,044;12,3;29,9
0,059;15,3;29,9
0,059;15,3;29,9
0,059;15,3;29,9
0,072;19;29,8
0,072;19;29,8
0,072;19;29,8
0,086;23,4;29,7
0,086;23,4;29,7
0,086;23,4;29,7
0,101;28,5;29,7
0,101;28,5;29,7
0,101;28,5;29,7
0,114;34,3;29,6
0,114;34,3;29,6
0,114;34,3;29,6
0,128;40,7;29,5
0,128;40,7;29,5
0,128;40,7;29,5
0,143;47,7;29,4
0,143;47,7;29,4
0,143;47,7;29,4
0,156;55,3;29,4
0,156;55,3;29,4
0,156;55,3;29,4
0,17;63,5;29,3
0,17;63,5;29,3
0,17;63,5;29,3
0,185;72,2;29,2
0,185;72,2;29,2
0,185;72,2;29,2
0,198;81,3;29,2
0,198;81,3;29,2
0,198;81,3;29,2
0,212;90,9;29,1
0,212;90,9;29,1
0,212;90,9;29,1
0,227;100,8;29
0,227;100,8;29
0,227;100,8;29
0,241;110,9;29
0,241;110,9;29
0,241;110,9;29
0,254;121,1;28,9
0,254;121,1;28,9
0,254;121,1;28,9
0,269;131,3;28,8
0,269;131,3;28,8
0,269;131,3;28,8
0,283;141,4;28,8
0,283;141,4;28,8
0,283;141,4;28,8
0,296;151,3;28,7
0,296;151,3;28,7
0,296;151,3;28,7
0,311;161;28,6
0,311;161;28,6
0,311;161;28,6
0,325;170,3;28,6
0,325;170,3;28,6
0,325;170,3;28,6
0,338;179,4;28,5
0,338;179,4;28,5
0,338;179,4;28,5
0,352;188,1;28,4
0,352;188,1;28,4
0,352;188,1;28,4
0,367;196,5;28,4
0,367;196,5;28,4
0,367;196,5;28,4
0,381;204,6;28,3
0,381;204,6;28,3
0,381;204,6;28,3
0,394;212,4;28,2
0,394;212,4;28,2
0,394;212,4;28,2
0,409;220;28,1
0,409;220;28,1
0,409;220;28,1
0,423;227,3;28,1
0,423;227,3;28,1
0,423;227,3;28,1
0,436;234,3;28
0,436;234,3;28
0,436;234,3;28
0,451;241,2;27,9
0,451;241,2;27,9
0,451;241,2;27,9
0,465;247,8;27,9
0,465;247,8;27,9
0,465;247,8;27,9
0,479;254,4;27,8
0,479;254,4;27,8
0,479;254,4;27,8
0,493;260,7;27,7
0,493;260,7;27,7
0,493;260,7;27,7
0,507;266,9;27,7
0,507;266,9;27,7
0,507;266,9;27,7
0,521;273,1;27,6
0,521;273,1;27,6
0,521;273,1;27,6
0,535;279,1;27,5
0,535;279,1;27,5
0,535;279,1;27,5
0,549;284,9;27,5
0,549;284,9;27,5
0,549;284,9;27,5
0,563;290,8;27,4
0,563;290,8;27,4
0,563;290,8;27,4
0,577;296,5;27,3
0,577;296,5;27,3
0,577;296,5;27,3
0,591;302,2;27,3
0,591;302,2;27,3
0,591;302,2;27,3
0,605;307,8;27,2
0,605;307,8;27,2
0,605;307,8;27,2
0,62;313,4;27,1
0,62;313,4;27,1
0,62;313,4;27,1
0,633;319;27,1
0,633;319;27,1
0,633;319;27,1
0,647;324,5;27
0,647;324,5;27
0,647;324,5;27
0,662;330,1;26,9
0,662;330,1;26,9
0,662;330,1;26,9
