Tempo (s);Carga (g);Posicao (mm)
0,002;3,7;25,2
0,002;3,7;25,2
0,002;3,7;25,2
0,016;4,2;25,1
0,016;4,2;25,1
0,016;4,2;25,1
0,029;4,8;25
0,029;4,8;25
0,029;4,8;25
0,042;5,5;25
0,042;5,5;25
0,042;5,5;25
0,056;6,2;24,9
0,056;6,2;24,9
0,056;6,2;24,9
0,068;7,1;24,8
0,068;7,1;24,8
0,068;7,1;24,8
0,081;8;24,8
0,081;8;24,8
0,081;8;24,8
0,094;9,1;24,7
0,094;9,1;24,7
0,094;9,1;24,7
0,108;10,3;24,7
0,108;10,3;24,7
0,108;10,3;24,7
0,121;11,7;24,6
0,121;11,7;24,6
0,121;11,7;24,6
0,134;13,2;24,5
0,134;13,2;24,5
0,134;13,2;24,5
0,147;14,9;24,5
0,147;14,9;24,5
0,147;14,9;24,5
0,161;16,7;24,4
0,161;16,7;24,4
0,161;16,7;24,4
0,174;18,7;24,3
0,174;18,7;24,3
0,174;18,7;24,3
0,188;20,8;24,3
0,188;20,8;24,3
0,188;20,8;24,3
0,2;23;24,2
0,2;23;24,2
0,2;23;24,2
0,213;25,5;24,1
0,213;25,5;24,1
0,213;25,5;24,1
0,227;28;24,1
0,227;28;24,1
0,227;28;24,1
0,24;30,7;24
0,24;30,7;24
0,24;30,7;24
0,253;33,5;23,9
0,253;33,5;23,9
0,253;33,5;23,9
0,266;36,3;23,9
0,266;36,3;23,9
0,266;36,3;23,9
0,28;39,3;23,8
0,28;39,3;23,8
0,28;39,3;23,8
0,292;42,4;23,7
0,292;42,4;23,7
0,292;42,4;23,7
0,306;45,7;23,7
0,306;45,7;23,7
0,306;45,7;23,7
0,32;49;23,6
0,32;49;23,6
0,32;49;23,6
0,333;52,3;23,5
0,333;52,3;23,5
0,333;52,3;23,5
0,346;55,8;23,5
0,346;55,8;23,5
0,346;55,8;23,5
0,359;59,4;23,4
0,359;59,4;23,4
0,359;59,4;23,4
0,372;63,1;23,4
0,372;63,1;23,4
0,372;63,1;23,4
0,385;66,9;23,3
0,385;66,9;23,3
0,385;66,9;23,3
0,399;70,8;23,2
0,399;70,8;23,2
0,399;70,8;23,2
0,412;74,8;23,2
0,412;74,8;23,2
0,412;74,8;23,2
0,425;78,8;23,1
0,425;78,8;23,1
0,425;78,8;23,1
0,437;83;23
0,437;83;23
0,437;83;23
0,452;87,2;23
0,452;87,2;23
0,452;87,2;23
0,465;91,6;22,9
0,465;91,6;22,9
0,465;91,6;22,9
0,478;95,9;22,8
0,478;95,9;22,8
0,478;95,9;22,8
0,492;100,4;22,8
0,492;100,4;22,8
0,492;100,4;22,8
0,505;104,9;22,7
0,505;104,9;22,7
0,505;104,9;22,7
0,517;109,5;22,6
0,517;109,5;22,6
0,517;109,5;22,6
0,531;114,1;22,6
0,531;114,1;22,6
0,531;114,1;22,6
0,544;118,8;22,5
0,544;118,8;22,5
0,544;118,8;22,5
0,557;123,5;22,4
0,557;123,5;22,4
0,557;123,5;22,4
0,571;128,2;22,4
0,571;128,2;22,4
0,571;128,2;22,4
0,584;132,9;22,3
0,584;132,9;22,3
0,584;132,9;22,3
0,598;137,6;22,2
0,598;137,6;22,2
0,598;137,6;22,2
0,612;142,2;22,2
0,612;142,2;22,2
0,612;142,2;22,2
0,625;146,9;22,1
0,625;146,9;22,1
0,625;146,9;22,1
0,638;151,6;22
0,638;151,6;22
0,638;151,6;22
0,651;156,2;22
0,651;156,2;22
0,651;156,2;22
0,665;160,9;21,9
0,665;160,9;21,9
0,665;160,9;21,9
0,678;165,5;21,8
0,678;165,5;21,8
0,678;165,5;21,8
0,691;170,2;21,8
0,691;170,2;21,8
0,691;170,2;21,8
0,705;174,8;21,7
0,705;174,8;21,7
0,705;174,8;21,7
0,718;179,4;21,6
0,718;179,4;21,6
0,718;179,4;21,6
0,731;184;21,6
0,731;184;21,6
0,731;184;21,6
