Tempo (s);Carga (g);Posicao (mm)
0,002;3,4;24,9
0,002;3,4;24,9
0,002;3,4;24,9
0,014;3,8;24,8
0,014;3,8;24,8
0,014;3,8;24,8
0,028;4,2;24,7
0,028;4,2;24,7
0,028;4,2;24,7
0,041;4,8;24,7
0,041;4,8;24,7
0,041;4,8;24,7
0,054;5,4;24,6
0,054;5,4;24,6
0,054;5,4;24,6
0,068;6,2;24,5
0,068;6,2;24,5
0,068;6,2;24,5
0,081;7;24,5
0,081;7;24,5
0,081;7;24,5
0,094;8;24,4
0,094;8;24,4
0,094;8;24,4
0,108;9,2;24,3
0,108;9,2;24,3
0,108;9,2;24,3
0,121;10,5;24,3
0,121;10,5;24,3
0,121;10,5;24,3
0,134;12,1;24,2
0,134;12,1;24,2
0,134;12,1;24,2
0,147;13,8;24,1
0,147;13,8;24,1
0,147;13,8;24,1
0,16;15,7;24,1
0,16;15,7;24,1
0,16;15,7;24,1
0,173;17,7;24
0,173;17,7;24
0,173;17,7;24
0,186;19,9;23,9
0,186;19,9;23,9
0,186;19,9;23,9
0,2;22,3;23,9
0,2;22,3;23,9
0,2;22,3;23,9
0,213;25;23,8
0,213;25;23,8
0,213;25;23,8
0,226;27,7;23,7
0,226;27,7;23,7
0,226;27,7;23,7
0,24;30,7;23,7
0,24;30,7;23,7
0,24;30,7;23,7
0,253;33,8;23,6
0,253;33,8;23,6
0,253;33,8;23,6
0,266;37;23,6
0,266;37;23,6
0,266;37;23,6
0,279;40,4;23,5
0,279;40,4;23,5
0,279;40,4;23,5
0,292;44;23,4
0,292;44;23,4
0,292;44;23,4
0,305;47,7;23,4
0,305;47,7;23,4
0,305;47,7;23,4
0,319;51,4;23,3
0,319;51,4;23,3
0,319;51,4;23,3
0,332;55,4;23,2
0,332;55,4;23,2
0,332;55,4;23,2
0,345;59,4;23,2
0,345;59,4;23,2
0,345;59,4;23,2
0,358;63,6;23,1
0,358;63,6;23,1
0,358;63,6;23,1
0,372;67,9;23
0,372;67,9;23
0,372;67,9;23
0,385;72,3;23
0,385;72,3;23
0,385;72,3;23
0,398;76,8;22,9
0,398;76,8;22,9
0,398;76,8;22,9
0,412;81,4;22,8
0,412;81,4;22,8
0,412;81,4;22,8
0,425;86;22,8
0,425;86;22,8
0,425;86;22,8
0,437;90,8;22,7
0,437;90,8;22,7
0,437;90,8;22,7
0,451;95,7;22,6
0,451;95,7;22,6
0,451;95,7;22,6
0,464;100,6;22,6
0,464;100,6;22,6
0,464;100,6;22,6
0,477;105,6;22,5
0,477;105,6;22,5
0,477;105,6;22,5
0,491;110,6;22,4
0,491;110,6;22,4
0,491;110,6;22,4
0,505;115,6;22,4
0,505;115,6;22,4
0,505;115,6;22,4
0,518;120,6;22,3
0,518;120,6;22,3
0,518;120,6;22,3
0,532;125,6;22,2
0,532;125,6;22,2
0,532;125,6;22,2
0,544;130,5;22,2
0,544;130,5;22,2
0,544;130,5;22,2
0,557;135,5;22,1
0,557;135,5;22,1
0,557;135,5;22,1
0,57;140,3;22,1
0,57;140,3;22,1
0,57;140,3;22,1
0,584;145,2;22
0,584;145,2;22
0,584;145,2;22
0,597;150;21,9
0,597;150;21,9
0,597;150;21,9
0,61;154,7;21,9
0,61;154,7;21,9
0,61;154,7;21,9
0,624;159,5;21,8
0,624;159,5;21,8
0,624;159,5;21,8
0,637;164,1;21,7
0,637;164,1;21,7
0,637;164,1;21,7
0,651;168,7;21,7
0,651;168,7;21,7
0,651;168,7;21,7
0,665;173,3;21,6
0,665;173,3;21,6
0,665;173,3;21,6
0,678;177,8;21,5
0,678;177,8;21,5
0,678;177,8;21,5
0,691;182,2;21,5
0,691;182,2;21,5
0,691;182,2;21,5
0,705;186,7;21,4
0,705;186,7;21,4
0,705;186,7;21,4
0,718;191;21,3
0,718;191;21,3
0,718;191;21,3
0,731;195,4;21,3
0,731;195,4;21,3
0,731;195,4;21,3
0,745;199,7;21,2
0,745;199,7;21,2
0,745;199,7;21,2
0,758;204;21,1
0,758;204;21,1
0,758;204;21,1
0,771;208,3;21,1
0,771;208,3;21,1
0,771;208,3;21,1
0,784;212,5;21
0,784;212,5;21
0,784;212,5;21
0,798;216,6;20,9
0,798;216,6;20,9
0,798;216,6;20,9
0,811;220,7;20,9
0,811;220,7;20,9
0,811;220,7;20,9
0,824;224,7;20,8
0,824;224,7;20,8
0,824;224,7;20,8
0,838;228,7;20,7
0,838;228,7;20,7
0,838;228,7;20,7
0,851;232,6;20,7
0,851;232,6;20,7
0,851;232,6;20,7
0,864;236,4;20,6
0,864;236,4;20,6
0,864;236,4;20,6
0,878;240,2;20,5
0,878;240,2;20,5
0,878;240,2;20,5
0,891;244;20,5
0,891;244;20,5
0,891;244;20,5
0,904;247,7;20,4
0,904;247,7;20,4
0,904;247,7;20,4
0,918;251,4;20,3
0,918;251,4;20,3
0,918;251,4;20,3
0,931;255,1;20,3
0,931;255,1;20,3
0,931;255,1;20,3
0,945;258,7;20,2
0,945;258,7;20,2
0,945;258,7;20,2
0,959;262,3;20,1
0,959;262,3;20,1
0,959;262,3;20,1
0,971;265,8;20,1
0,971;265,8;20,1
0,971;265,8;20,1
0,984;269,3;20
0,984;269,3;20
0,984;269,3;20
0,997;272,7;19,9
0,997;272,7;19,9
0,997;272,7;19,9
1,011;276,2;19,9
1,011;276,2;19,9
1,011;276,2;19,9
1,024;279,6;19,8
1,024;279,6;19,8
1,024;279,6;19,8
1,037;282,9;19,7
1,037;282,9;19,7
1,037;282,9;19,7
1,051;286,3;19,7
1,051;286,3;19,7
1,051;286,3;19,7
1,064;289,6;19,6
1,064;289,6;19,6
1,064;289,6;19,6
1,077;292,9;19,5
1,077;292,9;19,5
1,077;292,9;19,5
1,092;296,2;19,5
1,092;296,2;19,5
1,092;296,2;19,5
1,105;299,4;19,4
1,105;299,4;19,4
1,105;299,4;19,4
1,118;302,6;19,3
1,118;302,6;19,3
1,118;302,6;19,3
1,132;305,8;19,3
1,132;305,8;19,3
1,132;305,8;19,3
1,145;308,9;19,2
1,145;308,9;19,2
1,145;308,9;19,2
1,158;312;19,1
1,158;312;19,1
1,158;312;19,1
1,172;315;19,1
1,172;315;19,1
1,172;315;19,1
1,185;318,1;19
1,185;318,1;19
1,185;318,1;19
1,197;321,1;18,9
1,197;321,1;18,9
1,197;321,1;18,9
1,21;324,1;18,9
1,21;324,1;18,9
1,21;324,1;18,9
1,224;327;18,8
1,224;327;18,8
1,224;327;18,8
1,238;330;18,7
1,238;330;18,7
1,238;330;18,7
1,251;333;18,7
1,251;333;18,7
1,251;333;18,7
1,265;336;18,6
1,265;336;18,6
1,265;336;18,6
1,278;338,9;18,5
1,278;338,9;18,5
1,278;338,9;18,5
1,291;342;18,5
1,291;342;18,5
1,291;342;18,5
1,305;345;18,4
1,305;345;18,4
1,305;345;18,4
1,318;348;18,3
1,318;348;18,3
1,318;348;18,3
1,331;351,1;18,3
1,331;351,1;18,3
1,331;351,1;18,3
1,345;354,1;18,2
1,345;354,1;18,2
1,345;354,1;18,2
1,358;357,2;18,1
1,358;357,2;18,1
1,358;357,2;18,1
1,371;360,2;18,1
1,371;360,2;18,1
1,371;360,2;18,1
1,385;363,3;18
1,385;363,3;18
1,385;363,3;18
1,398;366,3;17,9
1,398;366,3;17,9
1,398;366,3;17,9
1,411;369,4;17,9
1,411;369,4;17,9
1,411;369,4;17,9
1,424;372,5;17,8
1,424;372,5;17,8
1,424;372,5;17,8
1,438;375,7;17,8
1,438;375,7;17,8
1,438;375,7;17,8
1,451;378,8;17,7
1,451;378,8;17,7
1,451;378,8;17,7
1,464;382;17,6
1,464;382;17,6
1,464;382;17,6
1,478;385,1;17,6
1,478;385,1;17,6
1,478;385,1;17,6
1,491;388,3;17,5
1,491;388,3;17,5
1,491;388,3;17,5
1,504;391,4;17,4
1,504;391,4;17,4
1,504;391,4;17,4
1,518;394,6;17,4
1,518;394,6;17,4
1,518;394,6;17,4
1,532;397,7;17,3
1,532;397,7;17,3
1,532;397,7;17,3
1,545;400,9;17,2
1,545;400,9;17,2
1,545;400,9;17,2
1,559;404;17,2
1,559;404;17,2
1,559;404;17,2
1,572;407,1;17,1
1,572;407,1;17,1
1,572;407,1;17,1
1,585;410,3;17
1,585;410,3;17
1,585;410,3;17
1,599;413,5;17
1,599;413,5;17
1,599;413,5;17
1,612;416,7;16,9
1,612;416,7;16,9
1,612;416,7;16,9
1,624;419,9;16,8
1,624;419,9;16,8
1,624;419,9;16,8
1,637;423,1;16,8
1,637;423,1;16,8
1,637;423,1;16,8
1,651;426,4;16,7
1,651;426,4;16,7
1,651;426,4;16,7
1,664;429,8;16,6
1,664;429,8;16,6
1,664;429,8;16,6
1,678;433,1;16,6
1,678;433,1;16,6
1,678;433,1;16,6
1,692;436,4;16,5
1,692;436,4;16,5
1,692;436,4;16,5
1,705;439,8;16,4
1,705;439,8;16,4
1,705;439,8;16,4
1,718;443,2;16,4
1,718;443,2;16,4
1,718;443,2;16,4
1,732;446,7;16,3
1,732;446,7;16,3
1,732;446,7;16,3
1,745;450,2;16,3
1,745;450,2;16,3
1,745;450,2;16,3
1,758;453,8;16,2
1,758;453,8;16,2
1,758;453,8;16,2
1,772;457,3;16,1
1,772;457,3;16,1
1,772;457,3;16,1
1,785;460,9;16,1
1,785;460,9;16,1
1,785;460,9;16,1
1,798;464,5;16
1,798;464,5;16
1,798;464,5;16
1,812;468,2;15,9
1,812;468,2;15,9
1,812;468,2;15,9
1,825;471,8;15,9
1,825;471,8;15,9
1,825;471,8;15,9
1,838;475,5;15,8
1,838;475,5;15,8
1,838;475,5;15,8
1,851;479,2;15,7
1,851;479,2;15,7
1,851;479,2;15,7
1,865;482,8;15,7
1,865;482,8;15,7
1,865;482,8;15,7
1,878;486,6;15,6
1,878;486,6;15,6
1,878;486,6;15,6
1,891;490,3;15,5
1,891;490,3;15,5
1,891;490,3;15,5
1,905;494;15,5
1,905;494;15,5
1,905;494;15,5
1,918;497,8;15,4
1,918;497,8;15,4
1,918;497,8;15,4
1,931;501,5;15,3
1,931;501,5;15,3
1,931;501,5;15,3
1,945;505,3;15,3
1,945;505,3;15,3
1,945;505,3;15,3
1,958;509,2;15,2
1,958;509,2;15,2
1,958;509,2;15,2
1,972;513;15,1
1,972;513;15,1
1,972;513;15,1
1,988;516,9;15,1
1,988;516,9;15,1
1,988;516,9;15,1
2,001;520,8;15,1
2,001;520,8;15,1
2,001;520,8;15,1
2,014;524,5;15,2
2,014;524,5;15,2
2,014;524,5;15,2
2,028;527,7;15,3
2,028;527,7;15,3
2,028;527,7;15,3
2,041;530,1;15,3
2,041;530,1;15,3
2,041;530,1;15,3
2,054;531,7;15,4
2,054;531,7;15,4
2,054;531,7;15,4
2,068;531,9;15,5
2,068;531,9;15,5
2,068;531,9;15,5
2,081;530,9;15,5
2,081;530,9;15,5
2,081;530,9;15,5
2,094;528,3;15,6
2,094;528,3;15,6
2,094;528,3;15,6
2,107;523,9;15,7
