Tempo (s);Carga (g);Posicao (mm)
0,003;3,9;25,8
0,003;3,9;25,8
0,003;3,9;25,8
0,015;4,4;25,7
0,015;4,4;25,7
0,015;4,4;25,7
0,028;5;25,6
0,028;5;25,6
0,028;5;25,6
0,042;5,6;25,6
0,042;5,6;25,6
0,042;5,6;25,6
0,056;6,4;25,5
0,056;6,4;25,5
0,056;6,4;25,5
0,068;7,3;25,4
0,068;7,3;25,4
0,068;7,3;25,4
0,081;8,2;25,4
0,081;8,2;25,4
0,081;8,2;25,4
0,095;9,3;25,3
0,095;9,3;25,3
0,095;9,3;25,3
0,108;10,5;25,2
0,108;10,5;25,2
0,108;10,5;25,2
0,121;11,9;25,2
0,121;11,9;25,2
0,121;11,9;25,2
0,135;13,3;25,1
0,135;13,3;25,1
0,135;13,3;25,1
0,147;14,9;25
0,147;14,9;25
0,147;14,9;25
0,16;16,7;25
0,16;16,7;25
0,16;16,7;25
0,174;18,5;24,9
0,174;18,5;24,9
0,174;18,5;24,9
0,188;20,4;24,8
0,188;20,4;24,8
0,188;20,4;24,8
0,201;22,5;24,8
0,201;22,5;24,8
0,201;22,5;24,8
0,213;24,7;24,7
0,213;24,7;24,7
0,213;24,7;24,7
0,227;26,9;24,6
0,227;26,9;24,6
0,227;26,9;24,6
0,24;29,3;24,6
0,24;29,3;24,6
0,24;29,3;24,6
0,253;31,8;24,5
0,253;31,8;24,5
0,253;31,8;24,5
0,267;34,3;24,5
0,267;34,3;24,5
0,267;34,3;24,5
0,28;36,9;24,4
0,28;36,9;24,4
0,28;36,9;24,4
0,292;39,6;24,3
0,292;39,6;24,3
0,292;39,6;24,3
0,306;42,3;24,3
0,306;42,3;24,3
0,306;42,3;24,3
0,319;45,2;24,2
0,319;45,2;24,2
0,319;45,2;24,2
0,333;48,1;24,1
0,333;48,1;24,1
0,333;48,1;24,1
0,347;51,1;24,1
0,347;51,1;24,1
0,347;51,1;24,1
0,359;54,2;24
0,359;54,2;24
0,359;54,2;24
0,372;57,4;23,9
0,372;57,4;23,9
0,372;57,4;23,9
0,386;60,8;23,9
0,386;60,8;23,9
0,386;60,8;23,9
0,399;64,2;23,8
0,399;64,2;23,8
0,399;64,2;23,8
0,412;67,7;23,7
0,412;67,7;23,7
0,412;67,7;23,7
0,425;71,3;23,7
0,425;71,3;23,7
0,425;71,3;23,7
0,438;75;23,6
0,438;75;23,6
0,438;75;23,6
0,451;78,8;23,5
0,451;78,8;23,5
0,451;78,8;23,5
0,464;82,7;23,5
0,464;82,7;23,5
0,464;82,7;23,5
0,479;86,7;23,4
0,479;86,7;23,4
0,479;86,7;23,4
0,492;90,8;23,3
0,492;90,8;23,3
0,492;90,8;23,3
0,504;95;23,3
0,504;95;23,3
0,504;95;23,3
0,518;99,2;23,2
0,518;99,2;23,2
0,518;99,2;23,2
0,531;103,6;23,2
0,531;103,6;23,2
0,531;103,6;23,2
0,544;108,1;23,1
0,544;108,1;23,1
0,544;108,1;23,1
0,558;112,6;23
0,558;112,6;23
0,558;112,6;23
0,571;117,2;23
0,571;117,2;23
0,571;117,2;23
0,584;121,9;22,9
0,584;121,9;22,9
0,584;121,9;22,9
0,597;126,6;22,8
0,597;126,6;22,8
0,597;126,6;22,8
0,611;131,5;22,8
0,611;131,5;22,8
0,611;131,5;22,8
0,625;136,3;22,7
0,625;136,3;22,7
0,625;136,3;22,7
0,638;141,3;22,6
0,638;141,3;22,6
0,638;141,3;22,6
0,652;146,4;22,6
0,652;146,4;22,6
0,652;146,4;22,6
0,664;151,5;22,5
0,664;151,5;22,5
0,664;151,5;22,5
0,677;156,7;22,4
0,677;156,7;22,4
0,677;156,7;22,4
0,691;161,9;22,4
0,691;161,9;22,4
0,691;161,9;22,4
0,704;167,1;22,3
0,704;167,1;22,3
0,704;167,1;22,3
0,717;172,3;22,2
0,717;172,3;22,2
0,717;172,3;22,2
0,731;177,6;22,2
0,731;177,6;22,2
0,731;177,6;22,2
0,744;182,8;22,1
0,744;182,8;22,1
0,744;182,8;22,1
0,757;188;22
0,757;188;22
0,757;188;22
0,772;193,2;22
0,772;193,2;22
0,772;193,2;22
0,785;198,4;21,9
0,785;198,4;21,9
0,785;198,4;21,9
0,798;203,5;21,8
0,798;203,5;21,8
0,798;203,5;21,8
0,811;208,7;21,8
0,811;208,7;21,8
0,811;208,7;21,8
0,825;213,8;21,7
0,825;213,8;21,7
0,825;213,8;21,7
0,838;218,9;21,6
0,838;218,9;21,6
0,838;218,9;21,6
0,851;224;21,6
0,851;224;21,6
0,851;224;21,6
0,865;229;21,5
0,865;229;21,5
0,865;229;21,5
0,878;234;21,4
0,878;234;21,4
0,878;234;21,4
0,891;239;21,4
0,891;239;21,4
0,891;239;21,4
0,905;243,9;21,3
0,905;243,9;21,3
0,905;243,9;21,3
0,918;248,9;21,2
0,918;248,9;21,2
0,918;248,9;21,2
0,931;253,7;21,2
0,931;253,7;21,2
0,931;253,7;21,2
0,945;258,6;21,1
0,945;258,6;21,1
0,945;258,6;21,1
0,958;263,5;21
0,958;263,5;21
0,958;263,5;21
0,971;268,3;21
0,971;268,3;21
0,971;268,3;21
0,985;273,2;20,9
0,985;273,2;20,9
0,985;273,2;20,9
0,998;278;20,8
0,998;278;20,8
0,998;278;20,8
1,011;282,7;20,8
1,011;282,7;20,8
1,011;282,7;20,8
1,024;287,4;20,7
1,024;287,4;20,7
1,024;287,4;20,7
1,038;292,1;20,6
1,038;292,1;20,6
1,038;292,1;20,6
1,051;296,8;20,6
1,051;296,8;20,6
1,051;296,8;20,6
1,065;301,4;20,5
1,065;301,4;20,5
1,065;301,4;20,5
1,079;306;20,4
1,079;306;20,4
1,079;306;20,4
1,091;310,5;20,4
1,091;310,5;20,4
1,091;310,5;20,4
1,104;315,2;20,3
1,104;315,2;20,3
1,104;315,2;20,3
1,118;319,8;20,2
1,118;319,8;20,2
1,118;319,8;20,2
1,131;324,4;20,2
1,131;324,4;20,2
1,131;324,4;20,2
1,144;329,1;20,1
1,144;329,1;20,1
1,144;329,1;20,1
1,158;333,7;20
1,158;333,7;20
1,158;333,7;20
1,171;338,4;20
1,171;338,4;20
1,171;338,4;20
1,184;343,1;19,9
1,184;343,1;19,9
1,184;343,1;19,9
1,198;347,8;19,9
1,198;347,8;19,9
1,198;347,8;19,9
1,212;352,5;19,8
1,212;352,5;19,8
1,212;352,5;19,8
1,225;357,2;19,7
1,225;357,2;19,7
1,225;357,2;19,7
1,238;361,9;19,6
1,238;361,9;19,6
1,238;361,9;19,6
1,252;366,6;19,6
1,252;366,6;19,6
1,252;366,6;19,6
1,265;371,3;19,5
1,265;371,3;19,5
1,265;371,3;19,5
1,278;376;19,4
1,278;376;19,4
1,278;376;19,4
1,291;380,7;19,4
1,291;380,7;19,4
1,291;380,7;19,4
1,304;385,5;19,3
1,304;385,5;19,3
1,304;385,5;19,3
1,317;390,1;19,3
1,317;390,1;19,3
1,317;390,1;19,3
1,331;394,8;19,2
1,331;394,8;19,2
1,331;394,8;19,2
1,344;399,5;19,1
1,344;399,5;19,1
1,344;399,5;19,1
1,358;404,1;19,1
1,358;404,1;19,1
1,358;404,1;19,1
1,372;408,7;19
1,372;408,7;19
1,372;408,7;19
1,385;413,3;18,9
1,385;413,3;18,9
1,385;413,3;18,9
1,398;417,8;18,9
1,398;417,8;18,9
1,398;417,8;18,9
1,412;422,3;18,8
1,412;422,3;18,8
1,412;422,3;18,8
1,425;426,9;18,7
1,425;426,9;18,7
1,425;426,9;18,7
1,438;431,4;18,7
1,438;431,4;18,7
1,438;431,4;18,7
1,451;436;18,6
1,451;436;18,6
1,451;436;18,6
1,465;440,5;18,5
1,465;440,5;18,5
1,465;440,5;18,5
1,478;445;18,5
1,478;445;18,5
1,478;445;18,5
1,491;449,5;18,4
1,491;449,5;18,4
1,491;449,5;18,4
1,505;454,1;18,3
1,505;454,1;18,3
1,505;454,1;18,3
1,518;458,6;18,3
1,518;458,6;18,3
1,518;458,6;18,3
1,531;463,1;18,2
1,531;463,1;18,2
1,531;463,1;18,2
1,545;467,5;18,1
1,545;467,5;18,1
1,545;467,5;18,1
1,558;472;18,1
1,558;472;18,1
1,558;472;18,1
1,571;476,5;18
1,571;476,5;18
1,571;476,5;18
1,585;480,9;17,9
1,585;480,9;17,9
1,585;480,9;17,9
1,598;485,4;17,9
1,598;485,4;17,9
1,598;485,4;17,9
1,611;489,9;17,8
1,611;489,9;17,8
1,611;489,9;17,8
1,625;494,3;17,7
1,625;494,3;17,7
1,625;494,3;17,7
1,638;498,8;17,7
1,638;498,8;17,7
1,638;498,8;17,7
1,652;503,2;17,6
1,652;503,2;17,6
1,652;503,2;17,6
1,666;507,7;17,5
1,666;507,7;17,5
1,666;507,7;17,5
1,678;512,1;17,5
1,678;512,1;17,5
1,678;512,1;17,5
1,691;516,5;17,4
1,691;516,5;17,4
1,691;516,5;17,4
1,704;520,8;17,3
1,704;520,8;17,3
1,704;520,8;17,3
1,718;525,1;17,3
1,718;525,1;17,3
1,718;525,1;17,3
1,731;529,4;17,2
1,731;529,4;17,2
1,731;529,4;17,2
1,744;533,6;17,1
1,744;533,6;17,1
1,744;533,6;17,1
1,758;537,8;17,1
1,758;537,8;17,1
1,758;537,8;17,1
1,771;542;17
1,771;542;17
1,771;542;17
1,784;546,3;17
1,784;546,3;17
1,784;546,3;17
1,799;550,5;16,9
1,799;550,5;16,9
1,799;550,5;16,9
1,812;554,8;16,8
1,812;554,8;16,8
1,812;554,8;16,8
1,825;559;16,8
1,825;559;16,8
1,825;559;16,8
1,839;563,3;16,7
1,839;563,3;16,7
1,839;563,3;16,7
1,852;567,6;16,6
1,852;567,6;16,6
1,852;567,6;16,6
1,865;571,9;16,6
1,865;571,9;16,6
1,865;571,9;16,6
1,878;576,1;16,5
1,878;576,1;16,5
1,878;576,1;16,5
1,892;580,5;16,4
1,892;580,5;16,4
1,892;580,5;16,4
1,905;584,8;16,4
1,905;584,8;16,4
1,905;584,8;16,4
1,918;589,3;16,3
1,918;589,3;16,3
1,918;589,3;16,3
1,932;593,8;16,2
1,932;593,8;16,2
1,932;593,8;16,2
1,945;598,3;16,2
1,945;598,3;16,2
1,945;598,3;16,2
1,958;602,9;16,1
1,958;602,9;16,1
1,958;602,9;16,1
1,972;607,6;16
1,972;607,6;16
1,972;607,6;16
1,985;612,3;16
1,985;612,3;16
1,985;612,3;16
1,998;616,9;15,9
1,998;616,9;15,9
1,998;616,9;15,9
2,012;621,6;15,8
2,012;621,6;15,8
2,012;621,6;15,8
2,025;626,3;15,8
2,025;626,3;15,8
2,025;626,3;15,8
2,038;631;15,7
2,038;631;15,7
2,038;631;15,7
2,052;635,7;15,6
2,052;635,7;15,6
2,052;635,7;15,6
2,067;640,4;15,6
2,067;640,4;15,6
2,067;640,4;15,6
2,08;645,1;15,6
2,08;645,1;15,6
2,08;645,1;15,6
2,095;649,6;15,7
2,095;649,6;15,7
2,095;649,6;15,7
2,108;653,5;15,8
2,108;653,5;15,8
2,108;653,5;15,8
2,121;656,5;15,8
2,121;656,5;15,8
2,121;656,5;15,8
2,134;658,6;15,9
2,134;658,6;15,9
2,134;658,6;15,9
2,148;659,2;16
2,148;659,2;16
2,148;659,2;16
2,161;658,3;16
2,161;658,3;16
2,161;658,3;16
2,174;655,6;16,1
2,174;655,6;16,1
2,174;655,6;16,1
2,188;650,9;16,2
2,188;650,9;16,2
2,188;650,9;16,2
2,201;644,4;16,2
2,201;644,4;16,2
2,201;644,4;16,2
2,214;636,2;16,3
2,214;636,2;16,3
2,214;636,2;16,3
2,228;626,3;16,4
2,228;626,3;16,4
2,228;626,3;16,4
2,242;614,9;16,4
2,242;614,9;16,4
2,242;614,9;16,4
2,255;602;16,5
2,255;602;16,5
2,255;602;16,5
2,269;587,8;16,6
2,269;587,8;16,6
2,269;587,8;16,6
2,282;572,3;16,6
2,282;572,3;16,6
2,282;572,3;16,6
2,295;555,5;16,7
2,295;555,5;16,7
2,295;555,5;16,7
2,309;537,7;16,8
2,309;537,7;16,8
2,309;537,7;16,8
2,322;519,3;16,8
2,322;519,3;16,8
2,322;519,3;16,8
2,335;500,6;16,9
2,335;500,6;16,9
2,335;500,6;16,9
2,349;481,8;17
2,349;481,8;17
2,349;481,8;17
2,362;463,3;17
2,362;463,3;17
2,362;463,3;17
2,375;445,4;17,1
2,375;445,4;17,1
2,375;445,4;17,1
2,388;428,1;17,2
2,388;428,1;17,2
2,388;428,1;17,2
2,402;411,9;17,2
2,402;411,9;17,2
2,402;411,9;17,2
2,415;396,6;17,3
2,415;396,6;17,3
2,415;396,6;17,3
2,428;382,1;17,4
2,428;382,1;17,4
2,428;382,1;17,4
2,442;368,3;17,4
2,442;368,3;17,4
2,442;368,3;17,4
2,455;355,2;17,5
2,455;355,2;17,5
2,455;355,2;17,5
2,468;342,8;17,6
2,468;342,8;17,6
2,468;342,8;17,6
2,482;330,8;17,6
2,482;330,8;17,6
2,482;330,8;17,6
2,495;319,3;17,7
2,495;319,3;17,7
2,495;319,3;17,7
2,508;308,3;17,8
2,508;308,3;17,8
2,508;308,3;17,8
2,522;297,8;17,8
2,522;297,8;17,8
2,522;297,8;17,8
2,536;287,8;17,9
2,536;287,8;17,9
2,536;287,8;17,9
2,549;278,1;17,9
2,549;278,1;17,9
2,549;278,1;17,9
2,563;268,9;18
2,563;268,9;18
2,563;268,9;18
2,576;260;18,1
2,576;260;18,1
2,576;260;18,1
2,589;251,5;18,1
2,589;251,5;18,1
2,589;251,5;18,1
2,602;243,3;18,2
2,602;243,3;18,2
2,602;243,3;18,2
2,616;235,4;18,3
2,616;235,4;18,3
2,616;235,4;18,3
2,629;227,7;18,3
2,629;227,7;18,3
2,629;227,7;18,3
2,642;220,3;18,4
2,642;220,3;18,4
2,642;220,3;18,4
2,656;213,1;18,5
2,656;213,1;18,5
2,656;213,1;18,5
2,669;206,2;18,5
2,669;206,2;18,5
2,669;206,2;18,5
2,683;199,5;18,6
2,683;199,5;18,6
2,683;199,5;18,6
2,697;193;18,7
2,697;193;18,7
2,697;193;18,7
2,71;186,7;18,7
2,71;186,7;18,7
2,71;186,7;18,7
2,723;180,7;18,8
2,723;180,7;18,8
2,723;180,7;18,8
2,737;174,8;18,9
2,737;174,8;18,9
2,737;174,8;18,9
2,75;169;18,9
2,75;169;18,9
2,75;169;18,9
2,763;163,4;19
2,763;163,4;19
2,763;163,4;19
2,777;157,9;19,1
2,777;157,9;19,1
2,777;157,9;19,1
2,79;152,7;19,1
2,79;152,7;19,1
2,79;152,7;19,1
2,803;147,5;19,2
2,803;147,5;19,2
2,803;147,5;19,2
2,816;142,6;19,3
2,816;142,6;19,3
2,816;142,6;19,3
2,83;137,7;19,3
2,83;137,7;19,3
2,83;137,7;19,3
2,843;133,1;19,4
2,843;133,1;19,4
2,843;133,1;19,4
2,856;128,6;19,5
2,856;128,6;19,5
2,856;128,6;19,5
2,87;124,2;19,5
2,87;124,2;19,5
2,87;124,2;19,5
2,883;120;19,6
2,883;120;19,6
2,883;120;19,6
2,896;115,9;19,7
2,896;115,9;19,7
2,896;115,9;19,7
2,91;111,9;19,7
2,91;111,9;19,7
2,91;111,9;19,7
2,923;108;19,8
2,923;108;19,8
2,923;108;19,8
2,936;104,3;19,9
2,936;104,3;19,9
2,936;104,3;19,9
