Tempo (s);Carga (g);Posicao (mm)
0,002;6,1;25,1
0,002;6,1;25,1
0,002;6,1;25,1
0,015;7;25
0,015;7;25
0,015;7;25
0,028;7,8;25
0,028;7,8;25
0,028;7,8;25
0,04;8,7;25
0,04;8,7;25
0,04;8,7;25
0,053;9,5;25
0,053;9,5;25
0,053;9,5;25
0,067;10,3;25
0,067;10,3;25
0,067;10,3;25
0,079;11,1;25
0,079;11,1;25
0,079;11,1;25
0,092;11,7;25
0,092;11,7;25
0,092;11,7;25
0,105;12,4;25
0,105;12,4;25
0,105;12,4;25
0,118;12,9;24,9
0,118;12,9;24,9
0,118;12,9;24,9
0,13;13,4;24,9
0,13;13,4;24,9
0,13;13,4;24,9
0,144;13,9;24,9
0,144;13,9;24,9
0,144;13,9;24,9
0,156;14,3;24,9
0,156;14,3;24,9
0,156;14,3;24,9
0,169;14,6;24,9
0,169;14,6;24,9
0,169;14,6;24,9
0,181;14,9;24,9
0,181;14,9;24,9
0,181;14,9;24,9
0,195;15,1;24,9
0,195;15,1;24,9
0,195;15,1;24,9
0,208;15,3;24,9
0,208;15,3;24,9
0,208;15,3;24,9
0,221;15,5;24,8
0,221;15,5;24,8
0,221;15,5;24,8
0,234;15,6;24,8
0,234;15,6;24,8
0,234;15,6;24,8
0,246;15,7;24,8
0,246;15,7;24,8
0,246;15,7;24,8
0,259;15,8;24,8
0,259;15,8;24,8
0,259;15,8;24,8
0,272;15,9;24,8
0,272;15,9;24,8
0,272;15,9;24,8
0,285;16,1;24,8
0,285;16,1;24,8
0,285;16,1;24,8
0,297;16,3;24,8
0,297;16,3;24,8
0,297;16,3;24,8
0,31;16,4;24,8
0,31;16,4;24,8
0,31;16,4;24,8
0,323;16,6;24,7
0,323;16,6;24,7
0,323;16,6;24,7
0,336;16,8;24,7
0,336;16,8;24,7
0,336;16,8;24,7
0,349;17,1;24,7
0,349;17,1;24,7
0,349;17,1;24,7
0,362;17,3;24,7
0,362;17,3;24,7
0,362;17,3;24,7
0,375;17,5;24,7
0,375;17,5;24,7
0,375;17,5;24,7
0,387;17,7;24,7
0,387;17,7;24,7
0,387;17,7;24,7
0,401;18;24,7
0,401;18;24,7
0,401;18;24,7
0,413;18,2;24,7
0,413;18,2;24,7
0,413;18,2;24,7
0,426;18,4;24,6
0,426;18,4;24,6
0,426;18,4;24,6
0,438;18,7;24,6
0,438;18,7;24,6
0,438;18,7;24,6
0,452;18,9;24,6
0,452;18,9;24,6
0,452;18,9;24,6
0,464;19,2;24,6
0,464;19,2;24,6
0,464;19,2;24,6
0,477;19,4;24,6
0,477;19,4;24,6
0,477;19,4;24,6
0,491;19,6;24,6
0,491;19,6;24,6
0,491;19,6;24,6
0,503;19,8;24,6
0,503;19,8;24,6
0,503;19,8;24,6
0,516;20;24,6
0,516;20;24,6
0,516;20;24,6
0,529;20,3;24,5
0,529;20,3;24,5
0,529;20,3;24,5
0,542;20,4;24,5
0,542;20,4;24,5
0,542;20,4;24,5
0,554;20,6;24,5
0,554;20,6;24,5
0,554;20,6;24,5
0,568;20,8;24,5
0,568;20,8;24,5
0,568;20,8;24,5
0,58;21;24,5
0,58;21;24,5
0,58;21;24,5
0,593;21,2;24,5
0,593;21,2;24,5
0,593;21,2;24,5
0,605;21,5;24,5
0,605;21,5;24,5
0,605;21,5;24,5
0,619;21,7;24,5
0,619;21,7;24,5
0,619;21,7;24,5
0,632;22;24,4
0,632;22;24,4
0,632;22;24,4
0,644;22,2;24,4
0,644;22,2;24,4
0,644;22,2;24,4
0,658;22,5;24,4
0,658;22,5;24,4
0,658;22,5;24,4
0,67;22,7;24,4
0,67;22,7;24,4
0,67;22,7;24,4
0,683;23;24,4
