Tempo (s);Carga (g);Posicao (mm)
0,003;7,8;24,6
0,003;7,8;24,6
0,003;7,8;24,6
0,016;9,3;24,5
0,016;9,3;24,5
0,016;9,3;24,5
0,029;10,9;24,4
0,029;10,9;24,4
0,029;10,9;24,4
0,042;12,8;24,4
0,042;12,8;24,4
0,042;12,8;24,4
0,056;14,8;24,3
0,056;14,8;24,3
0,056;14,8;24,3
0,069;17,1;24,2
0,069;17,1;24,2
0,069;17,1;24,2
0,082;19,5;24,2
0,082;19,5;24,2
0,082;19,5;24,2
0,096;22;24,1
0,096;22;24,1
0,096;22;24,1
0,109;24,7;24
0,109;24,7;24
0,109;24,7;24
0,122;27,6;24
0,122;27,6;24
0,122;27,6;24
0,136;30,6;23,9
0,136;30,6;23,9
0,136;30,6;23,9
0,148;33,8;23,9
0,148;33,8;23,9
0,148;33,8;23,9
0,161;37;23,8
0,161;37;23,8
0,161;37;23,8
0,175;40,3;23,7
0,175;40,3;23,7
0,175;40,3;23,7
0,188;43,8;23,7
0,188;43,8;23,7
0,188;43,8;23,7
0,201;47,3;23,6
0,201;47,3;23,6
0,201;47,3;23,6
0,214;50,9;23,5
0,214;50,9;23,5
0,214;50,9;23,5
0,228;54,5;23,5
0,228;54,5;23,5
0,228;54,5;23,5
0,241;58,2;23,4
0,241;58,2;23,4
0,241;58,2;23,4
0,254;61,9;23,3
0,254;61,9;23,3
0,254;61,9;23,3
0,268;65,7;23,3
0,268;65,7;23,3
0,268;65,7;23,3
0,281;69,5;23,2
0,281;69,5;23,2
0,281;69,5;23,2
0,294;73,4;23,2
0,294;73,4;23,2
0,294;73,4;23,2
0,307;77,2;23,1
0,307;77,2;23,1
0,307;77,2;23,1
0,32;81,1;23
0,32;81,1;23
0,32;81,1;23
0,333;84,9;23
0,333;84,9;23
0,333;84,9;23
0,347;88,7;22,9
0,347;88,7;22,9
0,347;88,7;22,9
0,361;92,4;22,8
0,361;92,4;22,8
0,361;92,4;22,8
0,373;96,2;22,8
0,373;96,2;22,8
0,373;96,2;22,8
0,387;99,9;22,7
0,387;99,9;22,7
0,387;99,9;22,7
0,4;103,6;22,6
0,4;103,6;22,6
0,4;103,6;22,6
0,413;107,3;22,6
0,413;107,3;22,6
0,413;107,3;22,6
0,426;110,9;22,5
0,426;110,9;22,5
0,426;110,9;22,5
0,44;114,5;22,4
0,44;114,5;22,4
0,44;114,5;22,4
0,452;118;22,4
0,452;118;22,4
0,452;118;22,4
0,465;121,6;22,3
0,465;121,6;22,3
0,465;121,6;22,3
0,479;125;22,3
0,479;125;22,3
0,479;125;22,3
0,492;128,4;22,2
0,492;128,4;22,2
0,492;128,4;22,2
0,506;131,7;22,1
0,506;131,7;22,1
0,506;131,7;22,1
0,519;135;22,1
0,519;135;22,1
0,519;135;22,1
0,532;138,2;22
0,532;138,2;22
0,532;138,2;22
0,545;141,4;21,9
0,545;141,4;21,9
0,545;141,4;21,9
0,559;144,5;21,9
0,559;144,5;21,9
0,559;144,5;21,9
0,572;147,6;21,8
0,572;147,6;21,8
0,572;147,6;21,8
0,585;150,6;21,8
0,585;150,6;21,8
0,585;150,6;21,8
0,597;153,6;21,7
