Tempo (s);Carga (g);Posicao (mm)
0,002;3,4;24,3
0,002;3,4;24,3
0,002;3,4;24,3
0,015;3,8;24,2
0,015;3,8;24,2
0,015;3,8;24,2
0,029;4,1;24,2
0,029;4,1;24,2
0,029;4,1;24,2
0,041;4,6;24,1
0,041;4,6;24,1
0,041;4,6;24,1
0,054;5;24
0,054;5;24
0,054;5;24
0,068;5,5;24
0,068;5,5;24
0,068;5,5;24
0,08;6;23,9
0,08;6;23,9
0,08;6;23,9
0,093;6,6;23,9
0,093;6,6;23,9
0,093;6,6;23,9
0,107;7,2;23,8
0,107;7,2;23,8
0,107;7,2;23,8
0,119;7,9;23,7
0,119;7,9;23,7
0,119;7,9;23,7
0,132;8,7;23,7
0,132;8,7;23,7
0,132;8,7;23,7
0,146;9,6;23,6
0,146;9,6;23,6
0,146;9,6;23,6
0,158;10,5;23,5
0,158;10,5;23,5
0,158;10,5;23,5
0,172;11,4;23,5
0,172;11,4;23,5
0,172;11,4;23,5
0,186;12,4;23,4
0,186;12,4;23,4
0,186;12,4;23,4
0,198;13,4;23,3
0,198;13,4;23,3
0,198;13,4;23,3
0,211;14,5;23,3
0,211;14,5;23,3
0,211;14,5;23,3
0,224;15,6;23,2
0,224;15,6;23,2
0,224;15,6;23,2
0,238;16,8;23,1
0,238;16,8;23,1
0,238;16,8;23,1
0,251;18;23,1
0,251;18;23,1
0,251;18;23,1
0,263;19,3;23
0,263;19,3;23
0,263;19,3;23
0,277;20,6;23
0,277;20,6;23
0,277;20,6;23
0,29;22,1;22,9
0,29;22,1;22,9
0,29;22,1;22,9
0,303;23,5;22,8
0,303;23,5;22,8
0,303;23,5;22,8
0,317;25,1;22,8
0,317;25,1;22,8
0,317;25,1;22,8
0,33;26,6;22,7
0,33;26,6;22,7
0,33;26,6;22,7
0,343;28,2;22,6
0,343;28,2;22,6
0,343;28,2;22,6
0,356;29,8;22,6
0,356;29,8;22,6
0,356;29,8;22,6
0,369;31,5;22,5
0,369;31,5;22,5
0,369;31,5;22,5
0,382;33,3;22,4
0,382;33,3;22,4
0,382;33,3;22,4
0,395;35,2;22,4
0,395;35,2;22,4
0,395;35,2;22,4
0,409;37,1;22,3
0,409;37,1;22,3
0,409;37,1;22,3
0,421;39,1;22,2
0,421;39,1;22,2
0,421;39,1;22,2
0,434;41,2;22,2
0,434;41,2;22,2
0,434;41,2;22,2
0,448;43,4;22,1
0,448;43,4;22,1
0,448;43,4;22,1
0,461;45,8;22
0,461;45,8;22
0,461;45,8;22
0,474;48,2;22
0,474;48,2;22
0,474;48,2;22
0,488;50,6;21,9
0,488;50,6;21,9
0,488;50,6;21,9
0,501;53,2;21,9
0,501;53,2;21,9
0,501;53,2;21,9
0,514;55,9;21,8
0,514;55,9;21,8
0,514;55,9;21,8
0,527;58,7;21,7
0,527;58,7;21,7
0,527;58,7;21,7
0,54;61,6;21,7
0,54;61,6;21,7
0,54;61,6;21,7
0,553;64,6;21,6
0,553;64,6;21,6
0,553;64,6;21,6
0,566;67,6;21,5
0,566;67,6;21,5
0,566;67,6;21,5
0,579;70,8;21,5
0,579;70,8;21,5
0,579;70,8;21,5
0,592;74;21,4
0,592;74;21,4
0,592;74;21,4
0,606;77,3;21,3
0,606;77,3;21,3
0,606;77,3;21,3
0,62;80,7;21,3
0,62;80,7;21,3
0,62;80,7;21,3
0,632;84,2;21,2
0,632;84,2;21,2
0,632;84,2;21,2
0,645;87,8;21,1
0,645;87,8;21,1
0,645;87,8;21,1
0,659;91,4;21,1
0,659;91,4;21,1
0,659;91,4;21,1
0,672;95,1;21
0,672;95,1;21
0,672;95,1;21
0,684;98,8;20,9
0,684;98,8;20,9
0,684;98,8;20,9
0,698;102,7;20,9
0,698;102,7;20,9
0,698;102,7;20,9
0,711;106,6;20,8
0,711;106,6;20,8
0,711;106,6;20,8
0,724;110,6;20,7
0,724;110,6;20,7
0,724;110,6;20,7
0,738;114,7;20,7
0,738;114,7;20,7
0,738;114,7;20,7
0,751;118,8;20,6
0,751;118,8;20,6
0,751;118,8;20,6
0,764;122,9;20,5
0,764;122,9;20,5
0,764;122,9;20,5
0,777;127,1;20,5
0,777;127,1;20,5
0,777;127,1;20,5
0,79;131,4;20,4
0,79;131,4;20,4
0,79;131,4;20,4
0,803;135,7;20,3
0,803;135,7;20,3
0,803;135,7;20,3
0,816;140,1;20,3
0,816;140,1;20,3
0,816;140,1;20,3
0,83;144,5;20,2
0,83;144,5;20,2
0,83;144,5;20,2
0,843;148,9;20,2
0,843;148,9;20,2
0,843;148,9;20,2
0,855;153,3;20,1
0,855;153,3;20,1
0,855;153,3;20,1
0,869;157,8;20
0,869;157,8;20
