Tempo (s);Carga (g);Posicao (mm)
0,001;3,3;25,2
0,001;3,3;25,2
0,001;3,3;25,2
0,015;3,8;25,1
0,015;3,8;25,1
0,015;3,8;25,1
0,029;4,3;25,1
0,029;4,3;25,1
0,029;4,3;25,1
0,041;4,8;25
0,041;4,8;25
0,041;4,8;25
0,054;5,5;24,9
0,054;5,5;24,9
0,054;5,5;24,9
0,068;6,3;24,9
0,068;6,3;24,9
0,068;6,3;24,9
0,08;7,1;24,8
0,08;7,1;24,8
0,08;7,1;24,8
0,093;8;24,8
0,093;8;24,8
0,093;8;24,8
0,107;9;24,7
0,107;9;24,7
0,107;9;24,7
0,119;10,2;24,6
0,119;10,2;24,6
0,119;10,2;24,6
0,132;11,4;24,6
0,132;11,4;24,6
0,132;11,4;24,6
0,146;12,7;24,5
0,146;12,7;24,5
0,146;12,7;24,5
0,159;14,1;24,4
0,159;14,1;24,4
0,159;14,1;24,4
0,172;15,6;24,4
0,172;15,6;24,4
0,172;15,6;24,4
0,186;17,2;24,3
0,186;17,2;24,3
0,186;17,2;24,3
0,199;19;24,2
0,199;19;24,2
0,199;19;24,2
0,211;20,8;24,2
0,211;20,8;24,2
0,211;20,8;24,2
0,224;22,8;24,1
0,224;22,8;24,1
0,224;22,8;24,1
0,238;24,8;24
0,238;24,8;24
0,238;24,8;24
0,251;26,9;24
0,251;26,9;24
0,251;26,9;24
0,263;29,2;23,9
0,263;29,2;23,9
0,263;29,2;23,9
0,277;31,4;23,8
0,277;31,4;23,8
0,277;31,4;23,8
0,29;33,8;23,8
0,29;33,8;23,8
0,29;33,8;23,8
0,303;36,1;23,7
0,303;36,1;23,7
0,303;36,1;23,7
0,317;38,6;23,6
0,317;38,6;23,6
0,317;38,6;23,6
0,33;41,1;23,6
0,33;41,1;23,6
0,33;41,1;23,6
0,343;43,7;23,5
0,343;43,7;23,5
0,343;43,7;23,5
0,357;46,4;23,5
0,357;46,4;23,5
0,357;46,4;23,5
0,369;49,1;23,4
0,369;49,1;23,4
0,369;49,1;23,4
0,382;51,9;23,3
0,382;51,9;23,3
0,382;51,9;23,3
0,395;54,8;23,3
0,395;54,8;23,3
0,395;54,8;23,3
0,409;57,7;23,2
0,409;57,7;23,2
0,409;57,7;23,2
0,422;60,7;23,1
0,422;60,7;23,1
0,422;60,7;23,1
0,434;63,7;23,1
0,434;63,7;23,1
0,434;63,7;23,1
0,448;66,8;23
0,448;66,8;23
0,448;66,8;23
0,462;70;22,9
0,462;70;22,9
0,462;70;22,9
0,474;73,2;22,9
0,474;73,2;22,9
0,474;73,2;22,9
0,488;76,4;22,8
0,488;76,4;22,8
0,488;76,4;22,8
0,501;79,8;22,7
0,501;79,8;22,7
0,501;79,8;22,7
0,514;83,2;22,7
0,514;83,2;22,7
0,514;83,2;22,7
0,528;86,6;22,6
0,528;86,6;22,6
0,528;86,6;22,6
0,54;90,1;22,6
0,54;90,1;22,6
0,54;90,1;22,6
0,553;93,7;22,5
0,553;93,7;22,5
0,553;93,7;22,5
0,566;97,3;22,4
0,566;97,3;22,4
0,566;97,3;22,4
0,58;101;22,4
0,58;101;22,4
0,58;101;22,4
0,592;104,8;22,3
0,592;104,8;22,3
0,592;104,8;22,3
0,606;108,6;22,2
0,606;108,6;22,2
0,606;108,6;22,2
0,62;112,4;22,2
0,62;112,4;22,2
0,62;112,4;22,2
0,633;116,3;22,1
0,633;116,3;22,1
0,633;116,3;22,1
0,645;120,2;22
0,645;120,2;22
0,645;120,2;22
0,659;124,3;22
0,659;124,3;22
0,659;124,3;22
0,672;128,3;21,9
0,672;128,3;21,9
0,672;128,3;21,9
0,685;132,5;21,8
0,685;132,5;21,8
0,685;132,5;21,8
0,699;136,7;21,8
0,699;136,7;21,8
0,699;136,7;21,8
0,711;140,9;21,7
0,711;140,9;21,7
0,711;140,9;21,7
0,724;145,2;21,6
0,724;145,2;21,6
0,724;145,2;21,6
0,737;149,5;21,6
0,737;149,5;21,6
0,737;149,5;21,6
0,752;153,8;21,5
0,752;153,8;21,5
0,752;153,8;21,5
0,764;158,2;21,5
0,764;158,2;21,5
0,764;158,2;21,5
0,777;162,6;21,4
0,777;162,6;21,4
0,777;162,6;21,4
0,791;167,1;21,3
0,791;167,1;21,3
0,791;167,1;21,3
0,804;171,7;21,3
0,804;171,7;21,3
0,804;171,7;21,3
0,817;176,3;21,2
0,817;176,3;21,2
0,817;176,3;21,2
0,83;180,9;21,1
0,83;180,9;21,1
0,83;180,9;21,1
0,843;185,7;21,1
0,843;185,7;21,1
0,843;185,7;21,1
0,856;190,5;21
0,856;190,5;21
0,856;190,5;21
0,87;195,4;20,9
0,87;195,4;20,9
0,87;195,4;20,9
0,883;200,3;20,9
0,883;200,3;20,9
0,883;200,3;20,9
0,896;205,4;20,8
0,896;205,4;20,8
0,896;205,4;20,8
0,91;210,5;20,7
0,91;210,5;20,7
0,91;210,5;20,7
0,923;215,6;20,7
0,923;215,6;20,7
0,923;215,6;20,7
0,936;220,9;20,6
0,936;220,9;20,6
0,936;220,9;20,6
0,948;226,3;20,5
0,948;226,3;20,5
0,948;226,3;20,5
0,962;231,7;20,5
0,962;231,7;20,5
0,962;231,7;20,5
0,975;237,2;20,4
0,975;237,2;20,4
0,975;237,2;20,4
0,988;242,8;20,3
0,988;242,8;20,3
0,988;242,8;20,3
1,002;248,5;20,3
1,002;248,5;20,3
1,002;248,5;20,3
1,014;254,3;20,2
1,014;254,3;20,2
1,014;254,3;20,2
1,027;260,1;20,1
1,027;260,1;20,1
1,027;260,1;20,1
1,042;266;20,1
1,042;266;20,1
1,042;266;20,1
1,054;271,9;20
1,054;271,9;20
1,054;271,9;20
1,067;277,9;19,9
1,067;277,9;19,9
1,067;277,9;19,9
1,081;283,9;19,9
1,081;283,9;19,9
1,081;283,9;19,9
1,094;290;19,8
1,094;290;19,8
1,094;290;19,8
1,107;296,1;19,7
1,107;296,1;19,7
1,107;296,1;19,7
1,119;302,2;19,7
1,119;302,2;19,7
