Tempo (s);Carga (g);Posicao (mm)
0,001;3,8;34,5
0,001;3,8;34,5
0,001;3,8;34,5
0,015;4,4;34,4
0,015;4,4;34,4
0,015;4,4;34,4
0,028;5;34,4
0,028;5;34,4
0,028;5;34,4
0,041;5,7;34,3
0,041;5,7;34,3
0,041;5,7;34,3
0,054;6,5;34,2
0,054;6,5;34,2
0,054;6,5;34,2
0,067;7,5;34,2
0,067;7,5;34,2
0,067;7,5;34,2
0,08;8,5;34,1
0,08;8,5;34,1
0,08;8,5;34,1
0,093;9,6;34,1
0,093;9,6;34,1
0,093;9,6;34,1
0,107;10,9;34
0,107;10,9;34
0,107;10,9;34
0,119;12,2;33,9
0,119;12,2;33,9
0,119;12,2;33,9
0,132;13,6;33,9
0,132;13,6;33,9
0,132;13,6;33,9
0,146;15,2;33,8
0,146;15,2;33,8
0,146;15,2;33,8
0,159;16,9;33,7
0,159;16,9;33,7
0,159;16,9;33,7
0,171;18,7;33,7
0,171;18,7;33,7
0,171;18,7;33,7
0,186;20,5;33,6
0,186;20,5;33,6
0,186;20,5;33,6
0,199;22,5;33,5
0,199;22,5;33,5
0,199;22,5;33,5
0,211;24,6;33,5
0,211;24,6;33,5
0,211;24,6;33,5
0,224;26,8;33,4
0,224;26,8;33,4
0,224;26,8;33,4
0,238;29,1;33,3
0,238;29,1;33,3
0,238;29,1;33,3
0,251;31,5;33,3
0,251;31,5;33,3
0,251;31,5;33,3
0,264;33,9;33,2
0,264;33,9;33,2
0,264;33,9;33,2
0,277;36,4;33,2
0,277;36,4;33,2
0,277;36,4;33,2
0,29;39;33,1
0,29;39;33,1
0,29;39;33,1
0,303;41,7;33
0,303;41,7;33
0,303;41,7;33
0,317;44,4;33
0,317;44,4;33
0,317;44,4;33
0,33;47,2;32,9
0,33;47,2;32,9
0,33;47,2;32,9
0,343;50,1;32,8
0,343;50,1;32,8
0,343;50,1;32,8
0,357;53;32,8
0,357;53;32,8
0,357;53;32,8
0,369;56,1;32,7
0,369;56,1;32,7
0,369;56,1;32,7
0,382;59,2;32,6
0,382;59,2;32,6
0,382;59,2;32,6
0,395;62,4;32,6
0,395;62,4;32,6
0,395;62,4;32,6
0,409;65,6;32,5
0,409;65,6;32,5
0,409;65,6;32,5
0,422;68,8;32,4
0,422;68,8;32,4
0,422;68,8;32,4
0,434;72,2;32,4
0,434;72,2;32,4
0,434;72,2;32,4
0,448;75,6;32,3
0,448;75,6;32,3
0,448;75,6;32,3
0,461;79;32,2
0,461;79;32,2
0,461;79;32,2
0,474;82,5;32,2
0,474;82,5;32,2
0,474;82,5;32,2
0,488;86;32,1
0,488;86;32,1
0,488;86;32,1
0,501;89,6;32
0,501;89,6;32
0,501;89,6;32
0,514;93,2;32
0,514;93,2;32
0,514;93,2;32
0,528;96,9;31,9
0,528;96,9;31,9
0,528;96,9;31,9
0,54;100,6;31,9
0,54;100,6;31,9
0,54;100,6;31,9
0,553;104,3;31,8
0,553;104,3;31,8
0,553;104,3;31,8
0,566;108,2;31,7
0,566;108,2;31,7
0,566;108,2;31,7
0,58;112;31,7
0,58;112;31,7
0,58;112;31,7
0,592;115,9;31,6
0,592;115,9;31,6
0,592;115,9;31,6
0,605;119,9;31,5
0,605;119,9;31,5
0,605;119,9;31,5
0,62;123,9;31,5
0,62;123,9;31,5
0,62;123,9;31,5
0,633;127,9;31,4
0,633;127,9;31,4
0,633;127,9;31,4
0,645;132;31,3
0,645;132;31,3
0,645;132;31,3
0,659;136;31,3
0,659;136;31,3
0,659;136;31,3
0,672;140,2;31,2
0,672;140,2;31,2
0,672;140,2;31,2
0,685;144,3;31,1
0,685;144,3;31,1
0,685;144,3;31,1
0,699;148,5;31,1
0,699;148,5;31,1
0,699;148,5;31,1
0,711;152,8;31
0,711;152,8;31
0,711;152,8;31
0,724;157;30,9
0,724;157;30,9
0,724;157;30,9
0,737;161,2;30,9
0,737;161,2;30,9
0,737;161,2;30,9
0,751;165,5;30,8
0,751;165,5;30,8
0,751;165,5;30,8
0,764;169,8;30,7
0,764;169,8;30,7
0,764;169,8;30,7
0,777;174,1;30,7
0,777;174,1;30,7
0,777;174,1;30,7
0,791;178,4;30,6
0,791;178,4;30,6
0,791;178,4;30,6
0,804;182,8;30,5
0,804;182,8;30,5
0,804;182,8;30,5
0,816;187,1;30,5
0,816;187,1;30,5
